Body Regions;A01
Tears;A12.200.882
Venoms;A12.200.935
Vernix Caseosa;A12.200.946
Body Fluids;A12.207
Ascitic Fluid;A12.207.119
Blood;A12.207.152
Fetal Blood;A12.207.152.200
Plasma;A12.207.152.693
Platelet-Rich Plasma;A12.207.152.693.600
Platelet-Rich Fibrin;A12.207.152.693.600.500
Serum;A12.207.152.846
Immune Sera;A12.207.152.846.500
Antilymphocyte Serum;A12.207.152.846.500.203
Body Fluid Compartments;A12.207.180
Body Water;A12.207.200
Extracellular Fluid;A12.207.270
Aqueous Humor;A12.207.270.040
Cerebrospinal Fluid;A12.207.270.210
Extravascular Lung Water;A12.207.270.300
Follicular Fluid;A12.207.270.340
Labyrinthine Fluids;A12.207.270.517
Endolymph;A12.207.270.517.324
Perilymph;A12.207.270.517.678
Lymph;A12.207.270.606
Chyle;A12.207.270.606.350
Pericardial Fluid;A12.207.270.651
Plasma;A12.207.270.695
Platelet-Rich Plasma;A12.207.270.695.600
Platelet-Rich Fibrin;A12.207.270.695.600.500
Synovial Fluid;A12.207.270.847
Intracellular Fluid;A12.207.515
Nipple Discharge;A12.207.824
Nipple Aspirate Fluid;A12.207.824.500
Urine;A12.207.927
Exudates and Transudates;A12.383
Cyst Fluid;A12.383.200
Dentinal Fluid;A12.383.250
Gingival Crevicular Fluid;A12.383.500
Subretinal Fluid;A12.383.800
Feces;A12.459
Meconium;A12.459.529
Melena;A12.459.764
Gastrointestinal Contents;A12.519
Hyalin;A12.580
Milk;A12.790
Buttermilk;A12.790.250
Kefir;A12.790.375
Koumiss;A12.790.438
Milk, Human;A12.790.500
Milk Proteins;A12.790.520
Whey Proteins;A12.790.520.500
Whey;A12.790.760
Whey Proteins;A12.790.760.500
Animal Structures;A13
Air Sacs;A13.048
Anal Sacs;A13.073
Animal Fins;A13.075
Animal Fur;A13.078
Animal Scales;A13.079
Animal Shells;A13.080
Arthropod Antennae;A13.093
Sensilla;A13.093.500
Beak;A13.114
Bursa of Fabricius;A13.163
Cloaca;A13.223
Comb and Wattles;A13.242
Compound Eye, Arthropod;A13.246
Corpora Allata;A13.250
Crop, Avian;A13.265
Egg Shell;A13.316
Electric Organ;A13.332
Embryo, Nonmammalian;A13.350
Chick Embryo;A13.350.150
Chorioallantoic Membrane;A13.350.575
Fat Body;A13.365
Feathers;A13.370
Forelimb;A13.395
Carpus, Animal;A13.395.248
Wings, Animal;A13.395.823
Ganglia, Invertebrate;A13.408
Gills;A13.421
Gizzard, Non-avian;A13.433
Harderian Gland;A13.445
Head Kidney;A13.449
Hemolymph;A13.453
Hepatopancreas;A13.463
High Vocal Center;A13.468
Hindlimb;A13.473
Stifle;A13.473.683
Tarsus, Animal;A13.473.821
Hoof and Claw;A13.491
Horns;A13.507
Antlers;A13.507.288
Imaginal Discs;A13.518
Interrenal Gland;A13.530
Lateral Line System;A13.564
Malpighian Tubules;A13.574
Mammary Glands, Animal;A13.589
Metrial Gland;A13.600
Mushroom Bodies;A13.641
Nematocyst;A13.655
Nictitating Membrane;A13.660
Optic Lobe, Nonmammalian;A13.686
Oviducts;A13.706
Fallopian Tubes;A13.706.500
Perianal Glands;A13.734
Photoreceptor Cells, Invertebrate;A13.750
Salt Gland;A13.811
Scent Glands;A13.820
Stomach, Avian;A13.853
Gizzard, Avian;A13.853.355
Proventriculus;A13.853.710
Stomach, Ruminant;A13.869
Abomasum;A13.869.106
Omasum;A13.869.524
Reticulum;A13.869.697
Rumen;A13.869.804
Tail;A13.895
Ultimobranchial Body;A13.939
Vibrissae;A13.950
Wool;A13.970
Stomatognathic System;A14
Cheek;A14.194
Facial Muscles;A14.363
Jaw;A14.521
Alveolar Process;A14.521.125
Tooth Socket;A14.521.125.800
Dental Arch;A14.521.320
Mandible;A14.521.632
Chin;A14.521.632.300
Mandibular Condyle;A14.521.632.600
Mental Foramen;A14.521.632.800
Maxilla;A14.521.645
Palate;A14.521.658
Palate, Hard;A14.521.658.660
Masticatory Muscles;A14.530
Masseter Muscle;A14.530.630
Pterygoid Muscles;A14.530.790
Temporal Muscle;A14.530.940
Mouth;A14.549
Dentition;A14.549.167
Dentition, Mixed;A14.549.167.229
Dentition, Permanent;A14.549.167.237
Periodontium;A14.549.167.646
Alveolar Process;A14.549.167.646.094
Tooth Socket;A14.549.167.646.094.800
Dental Cementum;A14.549.167.646.267
Epithelial Attachment;A14.549.167.646.374
Gingiva;A14.549.167.646.480
Periapical Tissue;A14.549.167.646.700
Periodontal Ligament;A14.549.167.646.771
Tooth;A14.549.167.860
Bicuspid;A14.549.167.860.150
Cuspid;A14.549.167.860.200
Incisor;A14.549.167.860.425
Molar;A14.549.167.860.525
Molar, Third;A14.549.167.860.525.500
Tooth, Deciduous;A14.549.167.860.700
Natal Teeth;A14.549.167.860.700.500
Tooth, Unerupted;A14.549.167.860.715
Tooth Components;A14.549.167.900
Dental Cementum;A14.549.167.900.250
Dental Enamel;A14.549.167.900.255
Dental Pellicle;A14.549.167.900.255.500
Dental Pulp;A14.549.167.900.260
Dental Pulp Cavity;A14.549.167.900.265
Dentin;A14.549.167.900.280
Dentin, Secondary;A14.549.167.900.280.280
Tooth Cervix;A14.549.167.900.700
Tooth Crown;A14.549.167.900.710
Tooth Germ;A14.549.167.900.720
Dental Papilla;A14.549.167.900.720.250
Dental Sac;A14.549.167.900.720.255
Enamel Organ;A14.549.167.900.720.265
Tooth Root;A14.549.167.900.750
Tooth Apex;A14.549.167.900.750.700
Lip;A14.549.336
Labial Frenum;A14.549.336.505
Mouth Floor;A14.549.441
Mouth Mucosa;A14.549.512
Palate;A14.549.617
Palatal Muscles;A14.549.617.623
Palate, Hard;A14.549.617.660
Palate, Soft;A14.549.617.780
Uvula;A14.549.617.780.729
Salivary Glands;A14.549.760
Parotid Gland;A14.549.760.464
Salivary Ducts;A14.549.760.640
Salivary Glands, Minor;A14.549.760.650
Sublingual Gland;A14.549.760.687
Submandibular Gland;A14.549.760.812
von Ebner Glands;A14.549.760.906
Tongue;A14.549.885
Lingual Frenum;A14.549.885.431
Taste Buds;A14.549.885.779
Pharynx;A14.724
Hypopharynx;A14.724.490
Nasopharynx;A14.724.557
Adenoids;A14.724.557.500
Oropharynx;A14.724.603
Palatine Tonsil;A14.724.603.925
Pharyngeal Muscles;A14.724.617
Esophageal Sphincter, Upper;A14.724.617.360
Velopharyngeal Sphincter;A14.724.617.680
Temporomandibular Joint;A14.907
Temporomandibular Joint Disc;A14.907.900
Hemic and Immune Systems;A15
Blood;A15.145
Blood Cells;A15.145.229
Blood Buffy Coat;A15.145.229.093
Blood Platelets;A15.145.229.188
Erythrocytes;A15.145.229.334
Erythrocyte Membrane;A15.145.229.334.270
Erythrocytes, Abnormal;A15.145.229.334.330
Acanthocytes;A15.145.229.334.330.100
Erythrocyte Inclusions;A15.145.229.334.330.340
Heinz Bodies;A15.145.229.334.330.340.335
Megaloblasts;A15.145.229.334.330.531
Spherocytes;A15.145.229.334.330.802
Reticulocytes;A15.145.229.334.760
Hemocytes;A15.145.229.480
Leukocytes;A15.145.229.637
Granulocytes;A15.145.229.637.415
Basophils;A15.145.229.637.415.120
Eosinophils;A15.145.229.637.415.345
Neutrophils;A15.145.229.637.415.583
Leukocytes, Mononuclear;A15.145.229.637.555
Cytokine-Induced Killer Cells;A15.145.229.637.555.283
Killer Cells, Lymphokine-Activated;A15.145.229.637.555.283.500
Monocytes, Activated Killer;A15.145.229.637.555.283.750
T-Lymphocytes, Cytotoxic;A15.145.229.637.555.283.875
Lymphocytes;A15.145.229.637.555.567
Killer Cells, Natural;A15.145.229.637.555.567.537
Killer Cells, Lymphokine-Activated;A15.145.229.637.555.567.537.500
Lymphocyte Subsets;A15.145.229.637.555.567.550
B-Lymphocyte Subsets;A15.145.229.637.555.567.550.450
B-Lymphocytes, Regulatory;A15.145.229.637.555.567.550.450.300
T-Lymphocyte Subsets;A15.145.229.637.555.567.550.500
Intraepithelial Lymphocytes;A15.145.229.637.555.567.550.500.050
Mucosal-Associated Invariant T Cells;A15.145.229.637.555.567.550.500.100
T-Lymphocytes, Cytotoxic;A15.145.229.637.555.567.550.500.200
T-Lymphocytes, Helper-Inducer;A15.145.229.637.555.567.550.500.400
Th1 Cells;A15.145.229.637.555.567.550.500.400.500
Th2 Cells;A15.145.229.637.555.567.550.500.400.750
Th17 Cells;A15.145.229.637.555.567.550.500.400.770
T-Lymphocytes, Regulatory;A15.145.229.637.555.567.550.500.700
B-Lymphocytes;A15.145.229.637.555.567.562
B-Lymphocyte Subsets;A15.145.229.637.555.567.562.200
B-Lymphocytes, Regulatory;A15.145.229.637.555.567.562.200.300
Plasma Cells;A15.145.229.637.555.567.562.725
T-Lymphocytes;A15.145.229.637.555.567.569
CD4-Positive T-Lymphocytes;A15.145.229.637.555.567.569.200
T-Lymphocytes, Helper-Inducer;A15.145.229.637.555.567.569.200.400
Th1 Cells;A15.145.229.637.555.567.569.200.400.500
Th2 Cells;A15.145.229.637.555.567.569.200.400.750
Th17 Cells;A15.145.229.637.555.567.569.200.400.770
T-Lymphocytes, Regulatory;A15.145.229.637.555.567.569.200.700
CD8-Positive T-Lymphocytes;A15.145.229.637.555.567.569.220
T-Lymphocytes, Cytotoxic;A15.145.229.637.555.567.569.220.200
Natural Killer T-Cells;A15.145.229.637.555.567.569.360
T-Lymphocyte Subsets;A15.145.229.637.555.567.569.500
Intraepithelial Lymphocytes;A15.145.229.637.555.567.569.500.050
Mucosal-Associated Invariant T Cells;A15.145.229.637.555.567.569.500.100
T-Lymphocytes, Cytotoxic;A15.145.229.637.555.567.569.500.200
T-Lymphocytes, Helper-Inducer;A15.145.229.637.555.567.569.500.400
Th1 Cells;A15.145.229.637.555.567.569.500.400.500
Th2 Cells;A15.145.229.637.555.567.569.500.400.750
Th17 Cells;A15.145.229.637.555.567.569.500.400.770
T-Lymphocytes, Regulatory;A15.145.229.637.555.567.569.500.700
Lymphocytes, Null;A15.145.229.637.555.567.584
Lymphocytes, Tumor-Infiltrating;A15.145.229.637.555.567.650
Monocytes;A15.145.229.637.555.652
Monocytes, Activated Killer;A15.145.229.637.555.652.500
Fetal Blood;A15.145.300
Plasma;A15.145.693
Platelet-Rich Plasma;A15.145.693.600
Platelet-Rich Fibrin;A15.145.693.600.500
Serum;A15.145.846
Hematopoietic System;A15.378
Bone Marrow Cells;A15.378.316
Granulocytes;A15.378.316.340
Granulocyte Precursor Cells;A15.378.316.340.350
Hematopoietic Stem Cells;A15.378.316.378
Lymphoid Progenitor Cells;A15.378.316.378.550
Myeloid Progenitor Cells;A15.378.316.378.590
Granulocyte-Macrophage Progenitor Cells;A15.378.316.378.590.675
Granulocyte Precursor Cells;A15.378.316.378.590.675.500
Monocyte-Macrophage Precursor Cells;A15.378.316.378.590.675.750
Megakaryocyte-Erythroid Progenitor Cells;A15.378.316.378.590.837
Erythroid Precursor Cells;A15.378.316.378.590.837.250
Erythroblasts;A15.378.316.378.590.837.250.200
Megaloblasts;A15.378.316.378.590.837.250.200.500
Megakaryocyte Progenitor Cells;A15.378.316.378.590.837.625
Megakaryocytes;A15.378.316.479
Monocytes;A15.378.316.580
Reticulocytes;A15.378.316.790
Immune System;A15.382
Antibody-Producing Cells;A15.382.032
B-Lymphocytes;A15.382.032.438
B-Lymphocyte Subsets;A15.382.032.438.450
B-Lymphocytes, Regulatory;A15.382.032.438.450.300
Plasma Cells;A15.382.032.438.725
Antigen-Presenting Cells;A15.382.066
Dendritic Cells;A15.382.066.270
Langerhans Cells;A15.382.066.270.500
Dendritic Cells, Follicular;A15.382.066.275
Bone Marrow;A15.382.216
Enterochromaffin Cells;A15.382.250
Immunological Synapses;A15.382.370
Leukocytes;A15.382.490
Granulocytes;A15.382.490.315
Basophils;A15.382.490.315.120
Eosinophils;A15.382.490.315.251
Neutrophils;A15.382.490.315.583
Leukocytes, Mononuclear;A15.382.490.555
Cytokine-Induced Killer Cells;A15.382.490.555.283
Killer Cells, Lymphokine-Activated;A15.382.490.555.283.500
Monocytes, Activated Killer;A15.382.490.555.283.750
T-Lymphocytes, Cytotoxic;A15.382.490.555.283.875
Lymphocytes;A15.382.490.555.567
Killer Cells, Natural;A15.382.490.555.567.537
Killer Cells, Lymphokine-Activated;A15.382.490.555.567.537.500
Lymphocyte Subsets;A15.382.490.555.567.550
B-Lymphocyte Subsets;A15.382.490.555.567.550.300
T-Lymphocyte Subsets;A15.382.490.555.567.550.500
Intraepithelial Lymphocytes;A15.382.490.555.567.550.500.050
Mucosal-Associated Invariant T Cells;A15.382.490.555.567.550.500.100
T-Lymphocytes, Cytotoxic;A15.382.490.555.567.550.500.200
T-Lymphocytes, Helper-Inducer;A15.382.490.555.567.550.500.400
Th1 Cells;A15.382.490.555.567.550.500.400.900
Th2 Cells;A15.382.490.555.567.550.500.400.905
Th17 Cells;A15.382.490.555.567.550.500.400.915
T-Lymphocytes, Regulatory;A15.382.490.555.567.550.500.700
B-Lymphocytes;A15.382.490.555.567.562
B-Lymphocyte Subsets;A15.382.490.555.567.562.450
B-Lymphocytes, Regulatory;A15.382.490.555.567.562.450.300
Plasma Cells;A15.382.490.555.567.562.725
T-Lymphocytes;A15.382.490.555.567.569
CD4-Positive T-Lymphocytes;A15.382.490.555.567.569.200
T-Lymphocytes, Helper-Inducer;A15.382.490.555.567.569.200.400
Th1 Cells;A15.382.490.555.567.569.200.400.900
Th2 Cells;A15.382.490.555.567.569.200.400.905
Th17 Cells;A15.382.490.555.567.569.200.400.915
T-Lymphocytes, Regulatory;A15.382.490.555.567.569.200.700
CD8-Positive T-Lymphocytes;A15.382.490.555.567.569.220
T-Lymphocytes, Cytotoxic;A15.382.490.555.567.569.220.200
Jurkat Cells;A15.382.490.555.567.569.440
Natural Killer T-Cells;A15.382.490.555.567.569.470
T-Lymphocyte Subsets;A15.382.490.555.567.569.500
Intraepithelial Lymphocytes;A15.382.490.555.567.569.500.050
Mucosal-Associated Invariant T Cells;A15.382.490.555.567.569.500.100
T-Lymphocytes, Cytotoxic;A15.382.490.555.567.569.500.200
T-Lymphocytes, Helper-Inducer;A15.382.490.555.567.569.500.400
Th1 Cells;A15.382.490.555.567.569.500.400.900
Th2 Cells;A15.382.490.555.567.569.500.400.905
Th17 Cells;A15.382.490.555.567.569.500.400.915
T-Lymphocytes, Regulatory;A15.382.490.555.567.569.500.700
Lymphocytes, Null;A15.382.490.555.567.622
Lymphocytes, Tumor-Infiltrating;A15.382.490.555.567.650
Monocytes;A15.382.490.555.652
Monocytes, Activated Killer;A15.382.490.555.652.500
Lymphatic System;A15.382.520
Glymphatic System;A15.382.520.075
Lymph;A15.382.520.150
Chyle;A15.382.520.150.350
Lymphatic Vessels;A15.382.520.301
Endothelium, Lymphatic;A15.382.520.301.500
Thoracic Duct;A15.382.520.301.750
Lymphoid Tissue;A15.382.520.604
Adenoids;A15.382.520.604.100
Bursa of Fabricius;A15.382.520.604.114
Lymph Nodes;A15.382.520.604.412
Germinal Center;A15.382.520.604.412.500
Dendritic Cells, Follicular;A15.382.520.604.412.500.200
Sentinel Lymph Node;A15.382.520.604.412.750
Palatine Tonsil;A15.382.520.604.580
Peyer's Patches;A15.382.520.604.600
Spleen;A15.382.520.604.700
Tertiary Lymphoid Structures;A15.382.520.604.725
Thymus Gland;A15.382.520.604.750
Mast Cells;A15.382.652
Mononuclear Phagocyte System;A15.382.670
Dendritic Cells;A15.382.670.260
Langerhans Cells;A15.382.670.260.500
Macrophages;A15.382.670.522
Epithelioid Cells;A15.382.670.522.300
Foam Cells;A15.382.670.522.368
Giant Cells, Foreign-Body;A15.382.670.522.376
Giant Cells, Langhans;A15.382.670.522.380
Histiocytes;A15.382.670.522.385
Kupffer Cells;A15.382.670.522.588
Macrophages, Alveolar;A15.382.670.522.600
Macrophages, Peritoneal;A15.382.670.522.630
Monocytes;A15.382.670.547
Monocytes, Activated Killer;A15.382.670.547.500
Phagocytes;A15.382.680
Macrophages;A15.382.680.397
Epithelioid Cells;A15.382.680.397.300
Foam Cells;A15.382.680.397.368
Giant Cells, Foreign-Body;A15.382.680.397.376
Giant Cells, Langhans;A15.382.680.397.380
Histiocytes;A15.382.680.397.385
Kupffer Cells;A15.382.680.397.588
Macrophages, Alveolar;A15.382.680.397.600
Macrophages, Peritoneal;A15.382.680.397.630
Monocytes;A15.382.680.547
Monocytes, Activated Killer;A15.382.680.547.500
Neutrophils;A15.382.680.689
Embryonic Structures;A16
Blastomeres;A16.094
Branchial Region;A16.142
Cleavage Stage, Ovum;A16.166
Cloaca;A16.178
Embryo, Mammalian;A16.254
Blastocyst;A16.254.500
Blastocyst Inner Cell Mass;A16.254.500.533
Trophoblasts;A16.254.500.766
Extraembryonic Membranes;A16.254.750
Allantois;A16.254.750.147
Amnion;A16.254.750.277
Chorion;A16.254.750.473
Chorionic Villi;A16.254.750.473.200
Yolk Sac;A16.254.750.981
Embryo, Nonmammalian;A16.331
Blastoderm;A16.331.024
Blastodisc;A16.331.042
Blastula;A16.331.099
Chick Embryo;A16.331.200
Chorioallantoic Membrane;A16.331.400
Yolk Sac;A16.331.800
Fetus;A16.378
Aborted Fetus;A16.378.099
Amniotic Fluid;A16.378.149
Fetal Blood;A16.378.200
Fetal Heart;A16.378.303
Ductus Arteriosus;A16.378.303.395
Endocardial Cushions;A16.378.303.662
Truncus Arteriosus;A16.378.303.930
Meconium;A16.378.529
Umbilical Cord;A16.378.693
Umbilical Arteries;A16.378.693.641
Umbilical Veins;A16.378.693.807
Vernix Caseosa;A16.378.857
Gastrula;A16.441
Germ Layers;A16.504
Ectoderm;A16.504.273
Endoderm;A16.504.407
Mesoderm;A16.504.660
Pericytes;A16.504.660.600
Somites;A16.504.660.750
Gestational Sac;A16.535
Gubernaculum;A16.551
Limb Buds;A16.567
Mesonephros;A16.599
Morula;A16.615
Mullerian Ducts;A16.623
Neural Crest;A16.627
Neural Plate;A16.629
Neural Tube;A16.630
Notochord;A16.660
Organizers, Embryonic;A16.675
Ovum;A16.690
Egg Yolk;A16.690.325
Vitelline Membrane;A16.690.886
Zona Pellucida;A16.690.900
Placenta;A16.710
Chorionic Villi;A16.710.189
Decidua;A16.710.289
Deciduoma;A16.710.289.500
Trophoblasts;A16.710.802
Primitive Streak;A16.830
Pronephros;A16.835
Head Kidney;A16.835.400
Urachus;A16.890
Vitelline Duct;A16.920
Wolffian Ducts;A16.935
Zygote;A16.950
Integumentary System;A17
Animal Scales;A17.100
Hair;A17.360
Animal Fur;A17.360.148
Eyebrows;A17.360.296
Eyelashes;A17.360.421
Hair Follicle;A17.360.710
Wool;A17.360.855
Nails;A17.600
Skin;A17.815
Dermis;A17.815.180
Acellular Dermis;A17.815.180.040
Epidermis;A17.815.250
Hair Follicle;A17.815.250.500
Sebaceous Glands;A17.815.805
Sweat Glands;A17.815.830
Apocrine Glands;A17.815.830.206
Eccrine Glands;A17.815.830.480
Plant Structures;A18
Chromosomes, Plant;A18.005
Plant Components, Aerial;A18.024
Flowering Tops;A18.024.249
Flowers;A18.024.249.500
Germ Cells, Plant;A18.024.249.500.249
Ovule;A18.024.249.500.249.249
Pollen;A18.024.249.500.249.500
Pollen Tube;A18.024.249.500.249.500.500
Inflorescence;A18.024.249.500.624
Fruit;A18.024.500
Nuts;A18.024.500.500
Seeds;A18.024.500.750
Cotyledon;A18.024.500.750.333
Edible Grain;A18.024.500.750.500
Endosperm;A18.024.500.750.666
Plant Epidermis;A18.024.750
Plant Bark;A18.024.750.200
Plant Stomata;A18.024.750.650
Trichomes;A18.024.750.825
Plant Leaves;A18.024.812
Mesophyll Cells;A18.024.812.324
Plant Stomata;A18.024.812.650
Pulvinus;A18.024.812.700
Plant Shoots;A18.024.875
Cotyledon;A18.024.875.500
Hypocotyl;A18.024.875.750
Meristem;A18.024.875.875
Cambium;A18.024.875.875.500
Plant Stems;A18.024.937
Hypocotyl;A18.024.937.249
Meristem;A18.024.937.500
Rhizome;A18.024.937.750
Plant Roots;A18.400
Meristem;A18.400.500
Cambium;A18.400.500.299
Plant Root Cap;A18.400.500.600
Mycorrhizae;A18.400.525
Plant Tubers;A18.400.625
Rhizome;A18.400.750
Root Nodules, Plant;A18.400.875
Plant Vascular Bundle;A18.450
Phloem;A18.450.250
Xylem;A18.450.500
Wood;A18.450.500.500
Seedlings;A18.550
Hypocotyl;A18.550.500
Sporangia;A18.560
Fungal Structures;A19
Chromosomes, Fungal;A19.311
Chromosomes, Artificial, Yeast;A19.311.800
Fruiting Bodies, Fungal;A19.374
Spores, Fungal;A19.374.500
Fungal Capsules;A19.530
Mycelium;A19.687
Hyphae;A19.687.400
Mycorrhizae;A19.690
Sporangia;A19.800
Bacterial Structures;A20
Bacterial Capsules;A20.186
Bacterial Chromatophores;A20.374
Bacterial Outer Membrane;A20.484
Biofilms;A20.593
Extracellular Polymeric Substance Matrix;A20.593.500
Chromosomes, Bacterial;A20.812
Chromosomes, Artificial, Bacterial;A20.812.170
Fimbriae, Bacterial;A20.843
Magnetosomes;A20.859
Pili, Sex;A20.867
Purple Membrane;A20.871
Ribosome Subunits, Large, Bacterial;A20.873
Ribosome Subunits, Small, Bacterial;A20.874
Viral Structures;A21
Occlusion Bodies, Viral;A21.125
Virion;A21.249
Nucleocapsid;A21.249.500
Capsid;A21.249.500.250
